getz305,地鶏専門店×贅沢個室 鳥桜 八王子駅前店,ジドリセンモンテンゼイタクコシツトリザクラ ハチオウジエキマエテン,35.658226,139.338186,https://r.gnavi.co.jp/m6nvb4y50000/?ak=%2BjI6%2BhHeqQRpVvfkPKrrdQhsI9r7cy797TxUCR1%2FGJo%3D,https://r.gnavi.co.jp/getz305/menu3,〒192-0082 東京都八王子市東町12-14 4F,050-3469-3724,2780
ge82800,割烹伊奈喜,カッポウイナキ,35.660013,139.329991,https://r.gnavi.co.jp/a3jfs6zj0000/?ak=%2BjI6%2BhHeqQRpVvfkPKrrdQhsI9r7cy797TxUCR1%2FGJo%3D,https://r.gnavi.co.jp/ge82800/menu3,〒192-0071 東京都八王子市八日町5-17,050-3490-6850,6000
ggyn100,2000円 食べ放題飲み放題 薫仙 八王子店,ニセンエンタベホウダイノミホウダイ クンセンハチオウジテン,35.658209,139.338186,https://r.gnavi.co.jp/juthu89b0000/?ak=%2BjI6%2BhHeqQRpVvfkPKrrdQhsI9r7cy797TxUCR1%2FGJo%3D,https://r.gnavi.co.jp/ggyn100/menu2,〒192-0082 東京都八王子市東町12-14 5F,050-3373-5403,2000
ggpw200,Bistro Panda,ビストロパンダ,35.65743,139.337021,https://r.gnavi.co.jp/eheysm7h0000/?ak=%2BjI6%2BhHeqQRpVvfkPKrrdQhsI9r7cy797TxUCR1%2FGJo%3D,https://r.gnavi.co.jp/ggpw200/menu3,〒192-0084 東京都八王子市三崎町4-3 1F,050-3466-9302,4000
ge6a113,北海道の恵み 個室居酒屋 北の台所 八王子店,ホッカイドウノメグミコシツイザカヤ キタノダイドコロハチオウジテン,35.656901,139.337973,https://r.gnavi.co.jp/s01m6dzf0000/?ak=%2BjI6%2BhHeqQRpVvfkPKrrdQhsI9r7cy797TxUCR1%2FGJo%3D,https://r.gnavi.co.jp/ge6a113/menu1,〒192-0083 東京都八王子市旭町6-9 7F,050-3467-4201,3000
b165600,個室 庭園和食 金沢の味 福梅,コシツテイエンワショクカナザワノアジフクウメ,35.658744,139.334404,https://r.gnavi.co.jp/b165600/?ak=%2BjI6%2BhHeqQRpVvfkPKrrdQhsI9r7cy797TxUCR1%2FGJo%3D,https://r.gnavi.co.jp/b165600/menu2,〒192-0072 東京都八王子市南町2-11,050-3476-1514,5000
ge6a111,個室居酒屋 淡路島へ渡れ 八王子店,コシツイザカヤアワジシマヘワタレハチオウジテン,35.656667,139.338119,https://r.gnavi.co.jp/73ca5s8y0000/?ak=%2BjI6%2BhHeqQRpVvfkPKrrdQhsI9r7cy797TxUCR1%2FGJo%3D,https://r.gnavi.co.jp/ge6a111/menu3,〒192-0083 東京都八王子市旭町6-13 3F,050-3469-6505,3000
ggte500,モータウン バグダッドカフェ 八王子,モータウンバグダッドカフェハチオウジ,35.658538,139.343298,https://r.gnavi.co.jp/r306xn2a0000/?ak=%2BjI6%2BhHeqQRpVvfkPKrrdQhsI9r7cy797TxUCR1%2FGJo%3D,https://r.gnavi.co.jp/ggte500/drink,〒192-0046 東京都八王子市明神町4-6-12 ザ・ビー 八王子2F,050-3476-1143,3000
ggwr500,まいどおおきに食堂 元八王子,マイドオオキニショクドウモトハチオウジ,35.665071,139.289476,https://r.gnavi.co.jp/dmtp39330000/?ak=%2BjI6%2BhHeqQRpVvfkPKrrdQhsI9r7cy797TxUCR1%2FGJo%3D,https://r.gnavi.co.jp/ggwr500/menu9,〒193-0826 東京都八王子市元八王子町1-464,050-3491-5785,1000
b676801,完全個室居酒屋 山桜～yamazakura～ 八王子店,カンゼンコシツイザカヤヤマザクラ ハチオウジテン,35.658194,139.336233,https://r.gnavi.co.jp/b676801/?ak=%2BjI6%2BhHeqQRpVvfkPKrrdQhsI9r7cy797TxUCR1%2FGJo%3D,https://r.gnavi.co.jp/b676801/menu5,〒192-0085 東京都八王子市中町5-9 三成堂ビル2F,050-3468-9098,2500
